"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"01.03.2026","12.698,19","12.987,42","13.456,56","12.433,04","120,37B","-7,43%"
"01.02.2026","13.717,81","13.598,39","14.532,67","13.393,80","180,98B","-0,87%"
"01.01.2026","13.838,29","11.296,52","13.906,51","11.296,52","168,97B","22,88%"
"01.12.2025","11.261,52","10.898,10","11.470,03","10.870,07","114,53B","3,33%"
"01.11.2025","10.898,70","11.019,60","11.152,28","10.373,75","133,57B","-0,66%"
"01.10.2025","10.971,52","10.992,82","11.259,32","10.053,74","153,63B","-0,37%"
"01.09.2025","11.012,12","11.308,24","11.540,66","10.264,25","166,40B","-2,44%"
"01.08.2025","11.288,05","10.755,12","11.605,30","10.702,53","152,97B","5,07%"
"01.07.2025","10.743,20","9.972,96","10.783,10","9.940,37","98,88B","7,99%"
"01.06.2025","9.948,51","9.012,94","9.949,51","8.964,99","57,67B","10,30%"
"01.05.2025","9.019,57","9.120,98","9.771,71","8.985,52","66,51B","-0,65%"
"01.04.2025","9.078,43","9.606,37","9.643,17","9.050,56","72,75B","-6,02%"
"01.03.2025","9.659,48","9.748,03","10.902,61","8.872,75","91,60B","0,01%"
"01.02.2025","9.658,72","9.918,35","9.983,21","9.422,17","69,82B","-3,46%"
"01.01.2025","10.004,38","9.858,10","10.180,41","9.659,51","89,26B","1,77%"
"01.12.2024","9.830,56","9.602,31","10.276,73","9.562,36","73,27B","1,85%"
"01.11.2024","9.652,00","8.888,51","9.744,57","8.566,62","68,69B","8,89%"
"01.10.2024","8.863,88","9.673,56","9.680,84","8.642,18","55,41B","-8,30%"
"01.09.2024","9.665,78","9.879,82","10.159,21","9.274,55","56,58B","-1,70%"
"01.08.2024","9.833,22","10.751,99","10.880,04","9.523,25","52,61B","-7,57%"
"01.07.2024","10.638,58","10.714,07","11.252,11","10.254,36","57,71B","-0,09%"
"01.06.2024","10.647,91","10.443,16","10.824,21","9.958,11","39,31B","2,38%"
"01.05.2024","10.400,48","10.097,39","11.088,01","10.036,41","65,67B","3,53%"
"01.04.2024","10.045,74","9.234,48","10.132,88","8.903,17","52,72B","9,88%"
"01.03.2024","9.142,40","9.218,30","9.368,51","8.695,39","58,70B","-0,56%"
"01.02.2024","9.193,69","8.514,47","9.450,48","8.514,47","72,96B","8,20%"
"01.01.2024","8.496,66","7.542,25","8.577,35","7.386,99","57,71B","13,74%"
"01.12.2023","7.470,18","8.071,48","8.120,50","7.202,88","47,42B","-6,02%"
"01.11.2023","7.948,60","7.568,86","8.149,44","7.297,00","55,42B","5,78%"
"01.10.2023","7.514,10","8.374,60","8.562,70","7.384,45","85,09B","-9,85%"
"01.09.2023","8.334,94","7.966,65","8.403,81","7.644,68","97,87B","5,27%"
"01.08.2023","7.917,93","7.209,59","8.013,52","7.113,31","116,64B","9,71%"
"01.07.2023","7.216,96","5.867,23","7.256,61","5.867,23","101,33B","25,31%"
"01.06.2023","5.759,11","4.928,63","5.766,58","4.928,63","60,86B","17,85%"
"01.05.2023","4.886,91","4.628,36","4.982,86","4.311,41","56,50B","5,82%"
"01.04.2023","4.617,93","4.806,40","5.198,39","4.578,14","39,80B","-4,05%"
"01.03.2023","4.812,93","5.258,74","5.503,09","4.752,91","71,46B","-8,10%"
"01.02.2023","5.237,33","4.998,82","5.320,40","4.186,01","45,72B","5,24%"
"01.01.2023","4.976,55","5.568,43","5.704,83","4.601,25","95,28B","-9,67%"
"01.12.2022","5.509,16","5.046,30","5.562,98","4.711,43","119,28B","10,68%"
"01.11.2022","4.977,64","3.987,44","4.988,68","3.987,44","126,61B","25,10%"
"01.10.2022","3.978,96","3.195,81","4.015,62","3.195,81","92,88B","25,12%"
"01.09.2022","3.179,99","3.168,41","3.715,28","3.048,67","125,67B","0,28%"
"01.08.2022","3.171,21","2.600,28","3.198,99","2.600,28","111,65B","22,33%"
"01.07.2022","2.592,38","2.408,64","2.593,57","2.359,09","44,31B","7,78%"
"01.06.2022","2.405,36","2.554,28","2.684,77","2.367,78","65,05B","-5,56%"
"01.05.2022","2.547,09","2.460,80","2.553,51","2.346,12","56,81B","4,79%"
"01.04.2022","2.430,55","2.238,73","2.562,28","2.230,35","92,87B","8,83%"
"01.03.2022","2.233,30","1.969,13","2.245,03","1.946,48","66,08B","14,75%"
"01.02.2022","1.946,19","2.013,97","2.060,69","1.826,83","50,44B","-2,85%"
"01.01.2022","2.003,20","1.871,25","2.102,97","1.864,79","69,29B","7,84%"
"01.12.2021","1.857,65","1.823,06","2.406,87","1.726,32","97,31B","2,65%"
"01.11.2021","1.809,65","1.522,28","1.834,51","1.491,67","84,34B","18,90%"
"01.10.2021","1.522,04","1.398,93","1.524,65","1.371,54","43,45B","8,22%"
"01.09.2021","1.406,39","1.475,62","1.484,95","1.376,01","38,67B","-4,46%"
"01.08.2021","1.472,07","1.397,98","1.474,47","1.394,27","39,68B","5,68%"
"01.07.2021","1.392,91","1.358,20","1.399,90","1.341,52","23,88B","2,70%"
"01.06.2021","1.356,34","1.424,47","1.468,95","1.351,64","44,82B","-4,52%"
"01.05.2021","1.420,49","1.400,15","1.465,56","1.392,87","41,33B","1,62%"
"01.04.2021","1.397,82","1.399,34","1.445,13","1.308,52","50,97B","0,44%"
"01.03.2021","1.391,73","1.491,88","1.589,47","1.256,32","74,67B","-5,41%"
"01.02.2021","1.471,39","1.484,86","1.575,70","1.443,17","88,11B","-0,14%"
"01.01.2021","1.473,45","1.482,17","1.582,04","1.431,32","104,49B","-0,22%"
